day_of_week,time,route,bus_stop,predicted_bus_load,wait_time_min
Monday,10:00,Northwest Connector,Service Annex (WB),0.016,30.0
Monday,10:00,Northwest Connector,Mount Hall (EB),0.086,30.0
Monday,10:00,Northwest Connector,Blankenship Hall (EB),0.086,30.0
Monday,10:00,Northwest Connector,Midwest Campus (EB),0.187,30.0
Monday,10:00,Northwest Connector,Mid Towers (SB),0.0,30.0
Monday,10:00,Northwest Connector,Herrick Drive Transit Hub (NB),0.119,30.0
Monday,10:00,Northwest Connector,Mid Towers (NB),0.059,30.0
Monday,10:00,Northwest Connector,Midwest Campus (WB),0.062,30.0
Monday,10:00,Northwest Connector,Fisher Commons (NB),0.0,30.0
Monday,11:00,Campus Connector,Mount Hall (WB),0.378,10.0
Monday,11:00,Campus Connector,Carmack 5 (NB),0.456,10.0
Monday,11:00,Campus Connector,Carmack 5 (SB),0.412,10.0
Monday,11:00,Campus Connector,Research Center (SB),0.426,10.0
Monday,11:00,Campus Connector,Kinnear Rd Lot (EB),0.409,10.0
Monday,11:00,Campus Connector,Blankenship Hall (EB),0.5,10.0
Monday,11:00,Campus Connector,Midwest Campus (EB),0.432,10.0
Monday,11:00,Campus Connector,St. John Arena (EB),0.304,10.0
Monday,11:00,Campus Connector,Fontana Lab (EB),0.397,10.0
Monday,11:00,Campus Connector,Stillman Hall (SB),0.321,10.0
Monday,11:00,Campus Connector,Ohio Union (SB),0.245,10.0
Monday,11:00,Campus Connector,Siebert Hall (WB),0.408,10.0
Monday,11:00,Campus Connector,Mack Hall (NB),0.518,10.0
Monday,11:00,Campus Connector,Herrick Drive Transit Hub (NB),0.439,10.0
Monday,11:00,Campus Connector,11th & Worthington (EB),0.363,10.0
Monday,11:00,Campus Connector,Ohio Union (NB),0.374,10.0
Monday,11:00,Campus Connector,Arps Hall (NB),0.494,10.0
Monday,11:00,Campus Connector,Blackburn House (WB),0.431,10.0
Monday,11:00,Campus Connector,Mason Hall (WB),0.419,10.0
Monday,11:00,Campus Connector,St. John Arena (WB),0.408,10.0
Monday,11:00,Campus Connector,Midwest Campus (WB),0.408,10.0
Monday,11:00,Campus Loop South,Buckeye Lot (SB),0.376,15.0
Monday,11:00,Campus Loop South,Midwest Campus (EB),0.368,15.0
Monday,11:00,Campus Loop South,Mid Towers (SB),0.354,15.0
Monday,11:00,Campus Loop South,Herrick Drive Transit Hub (NB),0.284,15.0
Monday,11:00,Campus Loop South,11th & Worthington (EB),0.381,15.0
Monday,11:00,Campus Loop South,Ohio Union (NB),0.311,15.0
Monday,11:00,Campus Loop South,Arps Hall (NB),0.417,15.0
Monday,11:00,Campus Loop South,Blackburn House (WB),0.274,15.0
Monday,11:00,Campus Loop South,Mason Hall (WB),0.338,15.0
Monday,11:00,Campus Loop South,St. John Arena (WB),0.341,15.0
Monday,11:00,Campus Loop South,Midwest Campus (WB),0.255,15.0
Monday,11:00,Campus Loop South,Fred Taylor & Schottenstein Dr (NB),0.431,15.0
Monday,11:00,Buckeye Express,Buckeye Lot (SB),0.456,7.0
Monday,11:00,Buckeye Express,Midwest Campus (EB),0.348,7.0
Monday,11:00,Buckeye Express,St. John Arena (EB),0.429,7.0
Monday,11:00,Buckeye Express,Knowlton Hall (EB),0.411,7.0
Monday,11:00,Buckeye Express,Fontana Lab (EB),0.236,7.0
Monday,11:00,Buckeye Express,High St & 15th Ave (SB),0.41,7.0
Monday,11:00,Buckeye Express,Ohio Union (NB),0.392,7.0
Monday,11:00,Buckeye Express,Arps Hall (NB),0.4,7.0
Monday,11:00,Buckeye Express,Blackburn House (WB),0.328,7.0
Monday,11:00,Buckeye Express,Mason Hall (WB),0.372,7.0
Monday,11:00,Buckeye Express,St. John Arena (WB),0.372,7.0
Monday,11:00,Buckeye Express,Midwest Campus (WB),0.447,7.0
Monday,11:00,Buckeye Express,Fred Taylor & Schottenstein Dr (NB),0.388,7.0
Monday,11:00,East Residential,High St & 15th Ave (SB),0.284,15.0
Monday,11:00,East Residential,11th & High (EB),0.38,15.0
Monday,11:00,East Residential,Indianola Ave (EB),0.259,15.0
Monday,11:00,East Residential,Chittenden Ave (NB),0.273,15.0
Monday,11:00,East Residential,15th Ave (NB),0.191,15.0
Monday,11:00,East Residential,18th Ave (NB),0.397,15.0
Monday,11:00,East Residential,Alden Ave (NB),0.363,15.0
Monday,11:00,East Residential,Maynard Ave (NB),0.362,15.0
Monday,11:00,East Residential,Tompkins St (SB),0.348,15.0
Monday,11:00,East Residential,Maynard Ave (SB),0.315,15.0
Monday,11:00,East Residential,Alden Ave (SB),0.321,15.0
Monday,11:00,East Residential,Lane Ave (SB),0.292,15.0
Monday,11:00,East Residential,18th Ave (SB),0.293,15.0
Monday,11:00,East Residential,15th Ave (SB),0.306,15.0
Monday,11:00,East Residential,Chittenden Ave (SB),0.391,15.0
Monday,11:00,East Residential,Indianola Ave (WB),0.33,15.0
Monday,11:00,East Residential,11th & High (WB),0.289,15.0
Monday,11:00,East Residential,Ohio Union (NB),0.254,15.0
Monday,11:00,East Residential,Arps Hall (NB),0.246,15.0
Monday,11:00,Med Center,Carmack 2 (SB),0.411,10.0
Monday,11:00,Med Center,Carmack 3 (NB),0.356,10.0
Monday,11:00,Med Center,Carmack 5 (NB),0.334,10.0
Monday,11:00,Med Center,Carmack 5 (SB),0.305,10.0
Monday,11:00,Med Center,Herrick Drive Transit Hub (NB),0.248,10.0
Monday,11:00,Northwest Connector,Stores & Receiving (SB),0.243,30.0
Monday,11:00,Northwest Connector,Service Annex (WB),0.305,30.0
Monday,11:00,Northwest Connector,Mount Hall (EB),0.235,30.0
Monday,11:00,Northwest Connector,Blankenship Hall (EB),0.248,30.0
Monday,11:00,Northwest Connector,Midwest Campus (EB),0.25,30.0
Monday,11:00,Northwest Connector,Mid Towers (SB),0.27,30.0
Monday,11:00,Northwest Connector,Herrick Drive Transit Hub (NB),0.166,30.0
Monday,11:00,Northwest Connector,Mid Towers (NB),0.244,30.0
Monday,11:00,Northwest Connector,Midwest Campus (WB),0.202,30.0
Monday,11:00,Northwest Connector,Fisher Commons (NB),0.3,30.0
Monday,12:00,Campus Connector,Mount Hall (WB),0.461,10.0
Monday,12:00,Campus Connector,Carmack 5 (NB),0.549,10.0
Monday,12:00,Campus Connector,Carmack 5 (SB),0.612,10.0
Monday,12:00,Campus Connector,Research Center (SB),0.508,10.0
Monday,12:00,Campus Connector,Kinnear Rd Lot (EB),0.497,10.0
Monday,12:00,Campus Connector,Blankenship Hall (EB),0.549,10.0
Monday,12:00,Campus Connector,Midwest Campus (EB),0.542,10.0
Monday,12:00,Campus Connector,St. John Arena (EB),0.486,10.0
Monday,12:00,Campus Connector,Fontana Lab (EB),0.576,10.0
Monday,12:00,Campus Connector,Stillman Hall (SB),0.67,10.0
Monday,12:00,Campus Connector,Ohio Union (SB),0.535,10.0
Monday,12:00,Campus Connector,Siebert Hall (WB),0.537,10.0
Monday,12:00,Campus Connector,Mack Hall (NB),0.485,10.0
Monday,12:00,Campus Connector,Herrick Drive Transit Hub (NB),0.565,10.0
Monday,12:00,Campus Connector,11th & Worthington (EB),0.467,10.0
Monday,12:00,Campus Connector,Ohio Union (NB),0.471,10.0
Monday,12:00,Campus Connector,Arps Hall (NB),0.61,10.0
Monday,12:00,Campus Connector,Blackburn House (WB),0.473,10.0
Monday,12:00,Campus Connector,Mason Hall (WB),0.586,10.0
Monday,12:00,Campus Connector,St. John Arena (WB),0.606,10.0
Monday,12:00,Campus Connector,Midwest Campus (WB),0.523,10.0
Monday,12:00,Campus Loop South,Buckeye Lot (SB),0.443,15.0
Monday,12:00,Campus Loop South,Midwest Campus (EB),0.536,15.0
Monday,12:00,Campus Loop South,Mid Towers (SB),0.415,15.0
Monday,12:00,Campus Loop South,Herrick Drive Transit Hub (NB),0.397,15.0
Monday,12:00,Campus Loop South,11th & Worthington (EB),0.356,15.0
Monday,12:00,Campus Loop South,Ohio Union (NB),0.442,15.0
Monday,12:00,Campus Loop South,Arps Hall (NB),0.528,15.0
Monday,12:00,Campus Loop South,Blackburn House (WB),0.495,15.0
Monday,12:00,Campus Loop South,Mason Hall (WB),0.376,15.0
Monday,12:00,Campus Loop South,St. John Arena (WB),0.375,15.0
Monday,12:00,Campus Loop South,Midwest Campus (WB),0.388,15.0
Monday,12:00,Campus Loop South,Fred Taylor & Schottenstein Dr (NB),0.427,15.0
Monday,12:00,Buckeye Express,Buckeye Lot (SB),0.448,7.0
Monday,12:00,Buckeye Express,Midwest Campus (EB),0.482,7.0
Monday,12:00,Buckeye Express,St. John Arena (EB),0.496,7.0
Monday,12:00,Buckeye Express,Knowlton Hall (EB),0.467,7.0
Monday,12:00,Buckeye Express,Fontana Lab (EB),0.488,7.0
Monday,12:00,Buckeye Express,High St & 15th Ave (SB),0.506,7.0
Monday,12:00,Buckeye Express,Ohio Union (NB),0.49,7.0
Monday,12:00,Buckeye Express,Arps Hall (NB),0.524,7.0
Monday,12:00,Buckeye Express,Blackburn House (WB),0.603,7.0
Monday,12:00,Buckeye Express,Mason Hall (WB),0.521,7.0
Monday,12:00,Buckeye Express,St. John Arena (WB),0.481,7.0
Monday,12:00,Buckeye Express,Midwest Campus (WB),0.368,7.0
Monday,12:00,Buckeye Express,Fred Taylor & Schottenstein Dr (NB),0.483,7.0
Monday,12:00,East Residential,High St & 15th Ave (SB),0.239,15.0
Monday,12:00,East Residential,11th & High (EB),0.276,15.0
Monday,12:00,East Residential,Indianola Ave (EB),0.417,15.0
Monday,12:00,East Residential,Chittenden Ave (NB),0.413,15.0
Monday,12:00,East Residential,15th Ave (NB),0.366,15.0
Monday,12:00,East Residential,18th Ave (NB),0.276,15.0
Monday,12:00,East Residential,Alden Ave (NB),0.359,15.0
Monday,12:00,East Residential,Maynard Ave (NB),0.343,15.0
Monday,12:00,East Residential,Tompkins St (SB),0.423,15.0
Monday,12:00,East Residential,Maynard Ave (SB),0.52,15.0
Monday,12:00,East Residential,Alden Ave (SB),0.398,15.0
Monday,12:00,East Residential,Lane Ave (SB),0.337,15.0
Monday,12:00,East Residential,18th Ave (SB),0.311,15.0
Monday,12:00,East Residential,15th Ave (SB),0.375,15.0
Monday,12:00,East Residential,Chittenden Ave (SB),0.364,15.0
Monday,12:00,East Residential,Indianola Ave (WB),0.301,15.0
Monday,12:00,East Residential,11th & High (WB),0.373,15.0
Monday,12:00,East Residential,Ohio Union (NB),0.292,15.0
Monday,12:00,East Residential,Arps Hall (NB),0.422,15.0
Monday,12:00,Med Center,Carmack 2 (SB),0.458,10.0
Monday,12:00,Med Center,Carmack 3 (NB),0.473,10.0
Monday,12:00,Med Center,Carmack 5 (NB),0.384,10.0
Monday,12:00,Med Center,Carmack 5 (SB),0.438,10.0
Monday,12:00,Med Center,Herrick Drive Transit Hub (NB),0.386,10.0
Monday,12:00,Northwest Connector,Stores & Receiving (SB),0.285,30.0
Monday,12:00,Northwest Connector,Service Annex (WB),0.296,30.0
Monday,12:00,Northwest Connector,Mount Hall (EB),0.245,30.0
Monday,12:00,Northwest Connector,Blankenship Hall (EB),0.241,30.0
Monday,12:00,Northwest Connector,Midwest Campus (EB),0.377,30.0
Monday,12:00,Northwest Connector,Mid Towers (SB),0.318,30.0
Monday,12:00,Northwest Connector,Herrick Drive Transit Hub (NB),0.34,30.0
Monday,12:00,Northwest Connector,Mid Towers (NB),0.383,30.0
Monday,12:00,Northwest Connector,Midwest Campus (WB),0.212,30.0
Monday,12:00,Northwest Connector,Fisher Commons (NB),0.261,30.0
Monday,13:00,Campus Connector,Mount Hall (WB),0.72,10.0
Monday,13:00,Campus Connector,Carmack 5 (NB),0.743,10.0
Monday,13:00,Campus Connector,Carmack 5 (SB),0.706,10.0
Monday,13:00,Campus Connector,Research Center (SB),0.8,10.0
Monday,13:00,Campus Connector,Kinnear Rd Lot (EB),0.758,10.0
Monday,13:00,Campus Connector,Blankenship Hall (EB),0.68,10.0
Monday,13:00,Campus Connector,Midwest Campus (EB),0.703,10.0
Monday,13:00,Campus Connector,St. John Arena (EB),0.812,10.0
Monday,13:00,Campus Connector,Fontana Lab (EB),0.795,10.0
Monday,13:00,Campus Connector,Stillman Hall (SB),0.655,10.0
